sep=,
ID;UserID;timestamp;isVisible;version;changesetID;nodes;tags
W28840644;1724100;2018-03-16T05:18:59Z;true;6;57230803;"[N317067790,N317067802,N317067818,N317067832,N317067834,N317069141,N317067835,N317067837,N317067841,N317067842,N317067843,N317067844,N317067846,N317067850,N317067854,N317067858,N317067862,N317067865,N317067868,N317067869,N317067870,N317067871,N317067875,N317067881,N317067887,N317067900,N317067902,N317067903,N317067904,N317067905,N317067907,N317067911,N317067912,N317067913,N317067917,N317067915,N317067923,N317067926,N317067927,N317067928,N317067929,N317067932,N317067935,N317067936,N317067938,N317067939,N317067942,N317067945,N1894216814,N317067946,N1894216832,N317067947,N317067948,N317067949,N317067953,N317067955,N317067956,N5481835639,N317067958,N317073309,N317067959]";"[rcn_ref=The Golden Trail,name=Joseph Young Drive,highway=tertiary]"
W28840645;9001;2008-12-06T23:29:17Z;true;1;218030;"[N317069141,N317069143,N317069147,N317069152,N317069153,N317069154,N317069155]";"[highway=track]"
