sep=,
ID;UserID;timestamp;isVisible;version;changesetID;latitude;longitude;tags
N317069159;79475;2013-11-25T05:39:41Z;true;4;19103575;-36.9965541;144.3054444;"[natural=peak,name=Mount Alexander,ele=746]"
N317067850;9001;2008-12-06T23:22:28Z;true;1;218030;-37.0002609;144.3067343;"[]"
N317069155;9001;2008-12-06T23:29:09Z;true;1;218030;-36.9967136;144.3052778;"[]"
N317069154;9001;2008-12-06T23:29:09Z;true;1;218030;-36.996689;144.3053854;"[]"
N317069153;9001;2008-12-06T23:29:08Z;true;1;218030;-36.9965968;144.3054253;"[]"
N317069152;9001;2008-12-06T23:29:07Z;true;1;218030;-36.9964308;144.3054468;"[]"
N1894216832;84937;2012-09-02T08:11:20Z;true;1;12950234;-37.0095012;144.3038693;"[]"
N317067938;9001;2008-12-06T23:22:51Z;true;1;218030;-37.0079969;144.3043975;"[]"
N317067818;1724100;2018-03-16T05:18:59Z;true;2;57230803;-36.9952024;144.3063247;"[]"
N317067939;9001;2008-12-06T23:22:52Z;true;1;218030;-37.0081656;144.3043047;"[]"
N317067936;9001;2008-12-06T23:22:51Z;true;1;218030;-37.0078619;144.3047096;"[]"
N317067858;9001;2008-12-06T23:22:29Z;true;1;218030;-37.0005477;144.3074429;"[]"
N317067935;9001;2008-12-06T23:22:50Z;true;1;218030;-37.0078198;144.3049374;"[]"
N317067932;9001;2008-12-06T23:22:49Z;true;1;218030;-37.0078957;144.3054182;"[]"
N317067854;9001;2008-12-06T23:22:28Z;true;1;218030;-37.000438;144.307038;"[]"
N317067862;9001;2008-12-06T23:22:30Z;true;1;218030;-37.000632;144.3080841;"[]"
N317073309;1724100;2018-03-16T05:18:59Z;true;2;57230803;-37.016537;144.3063121;"[]"
N317067907;9001;2008-12-06T23:22:41Z;true;1;218030;-37.006006;144.3087843;"[]"
N317067905;9001;2008-12-06T23:22:40Z;true;1;218030;-37.0057107;144.3089277;"[]"
N317067949;9001;2008-12-06T23:22:56Z;true;1;218030;-37.012755;144.3041191;"[]"
N317067903;9001;2008-12-06T23:22:39Z;true;1;218030;-37.0045212;144.3097123;"[]"
N317067947;9001;2008-12-06T23:22:55Z;true;1;218030;-37.0114474;144.3036972;"[]"
N317067904;9001;2008-12-06T23:22:39Z;true;1;218030;-37.0053142;144.3092989;"[]"
N317067948;9001;2008-12-06T23:22:56Z;true;1;218030;-37.0124935;144.303925;"[]"
N317067868;9001;2008-12-06T23:22:32Z;true;1;218030;-37.0010117;144.3096954;"[]"
N317067945;9001;2008-12-06T23:22:54Z;true;1;218030;-37.0085368;144.3041444;"[]"
N317067869;9001;2008-12-06T23:22:32Z;true;1;218030;-37.001172;144.3100919;"[]"
N317067902;9001;2008-12-06T23:22:38Z;true;1;218030;-37.0039306;144.3102607;"[]"
N317067946;84937;2012-09-02T08:11:26Z;true;2;12950234;-37.0089883;144.3039744;"[]"
N317067900;9001;2008-12-06T23:22:37Z;true;1;218030;-37.0033317;144.310615;"[]"
N317067865;9001;2008-12-06T23:22:31Z;true;1;218030;-37.0006995;144.3086072;"[]"
N317067942;9001;2008-12-06T23:22:53Z;true;1;218030;-37.0083934;144.304195;"[]"
N317067871;9001;2008-12-06T23:22:34Z;true;1;218030;-37.0016444;144.3106319;"[]"
N317067870;9001;2008-12-06T23:22:33Z;true;1;218030;-37.0013491;144.3103282;"[]"
N317067790;1724100;2018-03-16T05:18:58Z;true;2;57230803;-36.9937071;144.3078717;"[]"
N1894216814;84937;2012-09-02T08:11:20Z;true;1;12950234;-37.0087314;144.3040711;"[]"
N317067917;9001;2008-12-06T23:22:45Z;true;1;218030;-37.0069761;144.3075357;"[]"
N317067837;1724100;2018-03-16T05:18:59Z;true;2;57230803;-36.9973016;144.3057509;"[]"
N317067958;1724100;2018-03-16T05:18:59Z;true;2;57230803;-37.0164264;144.3061559;"[]"
N2351044102;637652;2013-06-18T11:26:45Z;true;1;16602274;-36.996784;144.3050907;"[man_made=tower,source=bing]"
N317067915;9001;2008-12-06T23:22:44Z;true;1;218030;-37.007128;144.3072405;"[]"
N317067959;1724100;2018-03-16T05:18:59Z;true;2;57230803;-37.01661;144.3064524;"[]"
N317067835;1724100;2018-03-16T05:18:59Z;true;2;57230803;-36.9967868;144.3057916;"[]"
N317067912;9001;2008-12-06T23:22:42Z;true;1;218030;-37.0066134;144.3084469;"[]"
N317067956;9001;2008-12-06T23:22:59Z;true;1;218030;-37.0152774;144.3056291;"[]"
N317067913;9001;2008-12-06T23:22:43Z;true;1;218030;-37.0068918;144.3078985;"[]"
N317067834;1724100;2018-03-16T05:18:59Z;true;2;57230803;-36.995544;144.3061223;"[]"
N317067911;9001;2008-12-06T23:22:42Z;true;1;218030;-37.0063012;144.3086831;"[]"
N317067955;9001;2008-12-06T23:22:58Z;true;1;218030;-37.0132443;144.3046843;"[]"
N317067875;9001;2008-12-06T23:22:35Z;true;1;218030;-37.0020493;144.310809;"[]"
N317067832;1724100;2018-03-16T05:18:59Z;true;2;57230803;-36.9953762;144.3061946;"[]"
N317067953;9001;2008-12-06T23:22:57Z;true;1;218030;-37.0130502;144.3045324;"[]"
N317067841;9001;2008-12-06T23:22:23Z;true;1;218030;-36.9978818;144.3060172;"[]"
N317069147;9001;2008-12-06T23:29:07Z;true;1;218030;-36.9963755;144.3055206;"[]"
N317067881;9001;2008-12-06T23:22:36Z;true;1;218030;-37.0023446;144.3108512;"[]"
N317069143;9001;2008-12-06T23:29:06Z;true;1;218030;-36.9963847;144.3056251;"[]"
N317069141;1724100;2018-03-16T05:18:59Z;true;2;57230803;-36.9964275;144.3058751;"[]"
N317067929;9001;2008-12-06T23:22:48Z;true;1;218030;-37.0078704;144.305646;"[]"
N317067927;9001;2008-12-06T23:22:47Z;true;1;218030;-37.0076088;144.3061691;"[]"
N317067928;9001;2008-12-06T23:22:48Z;true;1;218030;-37.0077944;144.3059075;"[]"
N317067926;9001;2008-12-06T23:22:46Z;true;1;218030;-37.0074992;144.3066246;"[]"
N317067802;1724100;2018-03-16T05:18:58Z;true;2;57230803;-36.9938737;144.3077763;"[]"
N317067846;9001;2008-12-06T23:22:27Z;true;1;218030;-37.0000246;144.3065234;"[]"
N317067923;9001;2008-12-06T23:22:45Z;true;1;218030;-37.0073558;144.3068608;"[]"
