X,Y,osm_id,name,barrier,highway,ref,address,is_in,place,man_made,other_tags
144.0689457,-36.9963144,36422054,Maldon,,,,,"Victoria, Australia",town,,
144.0494583,-36.9962555,120497796,Mount Tarrangower,,,,,,,,"""natural""=>""peak"""
144.0915409,-36.9964705,223269673,,,,,,,,,"""landuse""=>""landfill"""
144.0657098,-36.9948678,249076710,Maldon Primary School,,,,,,,,"""amenity""=>""school"""
144.0679666,-36.9959937,249077906,,,,,,,,,"""amenity""=>""post_office"""
144.0533592,-37.0103543,265659657,,,,,,,,,"""amenity""=>""toilets"""
144.0531934,-37.0102991,265659662,,,,,,,,,"""amenity""=>""parking"""
144.0526654,-37.010207,265659669,Carmans Tunnel,,,,,,,,"""tourism""=>""attraction"""
144.0568958,-37.012588,265659690,,,,,,,,,"""amenity""=>""toilets"""
144.0653689,-37.0004329,274160291,Anzac Hill,,,,,,,,"""natural""=>""peak"""
144.0478148,-37.0064552,274413510,,,,,,,,,"""tourism""=>""viewpoint"""
144.0296964,-36.9929032,290607646,Grave 1850,,,,,,,,"""historic""=>""memorial"""
144.0696712,-36.99987,303942317,Derby Hill,,,,,,,,"""natural""=>""peak"""
144.0533874,-36.9866333,318531276,,,,,,,,,"""amenity""=>""toilets"""
144.0826705,-36.9909928,320492638,,,,,,,,,"""railway""=>""level_crossing"""
144.088253,-36.9912426,320970299,,,,,,,,,"""railway""=>""level_crossing"""
144.0714435,-37.0062947,321560598,Gold Mining Memorial,,,,,,,,"""historic""=>""memorial"""
144.0735502,-37.0031767,321561184,South German Mine,,,,,,,,"""historic""=>""ruins"""
144.1164412,-37.0059042,321713709,,,,,,,,,"""railway""=>""level_crossing"""
144.0767108,-36.9690073,323068126,,gate,,,,,,,
144.0738851,-36.9864883,323068359,,,,,,,,,"""amenity""=>""parking"""
144.0731834,-36.9869337,323068360,Open Cut Mine,,,,,,,,"""tourism""=>""viewpoint"""
144.073877,-36.9906027,324952838,Maldon State Battery,,,,,,,,"""historic""=>""ruins"""
144.0637689,-37.002079,348952622,Mount Tarrengower Tunnel,,,,,,,,"""historic""=>""ruins"""
144.0656604,-37.0020306,348952847,Volunteer Air Observers Hut 1942 - 1945,,,,,,,,"""historic""=>""ruins"""
144.0656474,-37.000163,348952859,Turkish Gun 1915,,,,,,,,"""historic""=>""memorial"""
144.0689513,-36.9966687,348957179,,,,,,,,,"""amenity""=>""toilets"""
144.0690904,-36.9966794,348957218,,,,,,,,,"""amenity""=>""parking"""
144.066951,-36.9964782,348959046,,,,,,,,,"""leisure""=>""playground"""
144.0672299,-36.9963251,348959086,,,,,,,,,"""amenity""=>""toilets"""
144.0658597,-36.9963537,348966780,Maldon Cricket Club,,,,,,,,"""sport""=>""cricket"""
144.0645846,-36.9955717,348967043,,,,,,,,,"""amenity""=>""toilets"""
144.0734566,-36.9911681,369937022,Alliance Mine Shaft,,,,,,,,"""historic""=>""ruins"""
144.0534534,-37.0060949,371473019,,,,,,,,,"""amenity""=>""parking"""
144.0530255,-37.0062092,371473033,Kilns,,,,,,,,"""historic""=>""ruins"""
144.0512773,-37.0053655,371473055,Mine,,,,,,,,"""historic""=>""ruins"""
144.0439012,-37.0663755,401445944,,,,,,,,,"""ford""=>""yes"""
144.0675798,-37.0280005,459455598,,,,,,,,,"""ford""=>""yes"""
144.0683877,-36.998517,585128117,Robert Cox Motors: BP,,,,,,,,"""amenity""=>""fuel"""
144.0701129,-36.9964639,1006162997,,,,,,,,,"""addr:city""=>""Maldon"",""addr:country""=>""AU"",""addr:housenumber""=>""72"",""addr:postcode""=>""3463"",""addr:street""=>""Main Street"""
144.0691642,-36.9973988,1006163012,,,,,,,,,"""addr:city""=>""Maldon"",""addr:country""=>""AU"",""addr:housenumber""=>""42"",""addr:postcode""=>""3463"",""addr:street""=>""Main Street"""
144.0704486,-36.9961689,1006163013,,,,,,,,,"""addr:city""=>""Maldon"",""addr:country""=>""AU"",""addr:housenumber""=>""74"",""addr:postcode""=>""3463"",""addr:street""=>""Main Street"""
144.0688388,-36.9981563,1006163014,,,,,,,,,"""addr:city""=>""Maldon"",""addr:country""=>""AU"",""addr:housenumber""=>""2"",""addr:postcode""=>""3463"",""addr:street""=>""Main Street"""
144.06921,-36.9973387,1006163026,,,,,,,,,"""addr:city""=>""Maldon"",""addr:country""=>""AU"",""addr:housenumber""=>""44"",""addr:postcode""=>""3463"",""addr:street""=>""Main Street"""
144.0676185,-37.0034406,1006179873,,,,,,,,,"""addr:city""=>""Maldon"",""addr:country""=>""AU"",""addr:housenumber""=>""1"",""addr:postcode""=>""3463"",""addr:street""=>""Newstead Road"""
144.0687767,-36.998342,1006179874,,,,,,,,,"""addr:city""=>""Maldon"",""addr:country""=>""AU"",""addr:housenumber""=>""26"",""addr:postcode""=>""3463"",""addr:street""=>""High Street"""
144.0666026,-37.0046207,1006179877,,,,,,,,,"""addr:city""=>""Maldon"",""addr:country""=>""AU"",""addr:housenumber""=>""13"",""addr:postcode""=>""3463"",""addr:street""=>""Newstead Road"""
144.0699069,-36.9963082,1006179886,,,,,,,,,"""addr:city""=>""Maldon"",""addr:country""=>""AU"",""addr:housenumber""=>""55"",""addr:postcode""=>""3463"",""addr:street""=>""Main Street"""
144.0677163,-37.0019785,1006179888,,,,,,,,,"""addr:city""=>""Maldon"",""addr:country""=>""AU"",""addr:housenumber""=>""5"",""addr:postcode""=>""3463"",""addr:street""=>""High Street"""
144.0693127,-36.9968919,1006179889,,,,,,,,,"""addr:city""=>""Maldon"",""addr:country""=>""AU"",""addr:housenumber""=>""35,37"",""addr:postcode""=>""3463"",""addr:street""=>""Main Street"""
144.0695051,-36.9966767,1006179894,,,,,,,,,"""addr:city""=>""Maldon"",""addr:country""=>""AU"",""addr:housenumber""=>""39"",""addr:postcode""=>""3463"",""addr:street""=>""Main Street"""
144.0664391,-37.0040904,1006179897,,,,,,,,,"""addr:city""=>""Maldon"",""addr:country""=>""AU"",""addr:housenumber""=>""14"",""addr:postcode""=>""3463"",""addr:street""=>""Newstead Road"""
144.0688849,-36.9974166,1006179902,,,,,,,,,"""addr:city""=>""Maldon"",""addr:country""=>""AU"",""addr:housenumber""=>""5"",""addr:postcode""=>""3463"",""addr:street""=>""Main Street"""
144.0648719,-37.003917,1006707198,,,,,,,,,"""addr:city""=>""Maldon"",""addr:country""=>""AU"",""addr:housenumber""=>""16"",""addr:postcode""=>""3463"",""addr:street""=>""Gray Street"""
144.06708,-37.0050681,1006707202,,,,,,,,,"""addr:city""=>""Maldon"",""addr:country""=>""AU"",""addr:housenumber""=>""8"",""addr:postcode""=>""3463"",""addr:street""=>""Gray Street"""
144.0653441,-37.0043004,1006707206,,,,,,,,,"""addr:city""=>""Maldon"",""addr:country""=>""AU"",""addr:housenumber""=>""14"",""addr:postcode""=>""3463"",""addr:street""=>""Gray Street"""
144.0699856,-36.9959499,1007096027,,,,,,,,,"""addr:city""=>""Maldon"",""addr:country""=>""AU"",""addr:housenumber""=>""2"",""addr:postcode""=>""3463"",""addr:street""=>""Templeton Street"""
144.0701289,-36.9960811,1007096043,,,,,,,,,"""addr:city""=>""Maldon"",""addr:country""=>""AU"",""addr:housenumber""=>""63"",""addr:postcode""=>""3463"",""addr:street""=>""Main Street"""
144.069316,-36.9962899,1007096059,,,,,,,,,"""addr:city""=>""Maldon"",""addr:country""=>""AU"",""addr:housenumber""=>""1"",""addr:postcode""=>""3463"",""addr:street""=>""Dolphin Street"""
144.0697454,-36.9960643,1007096062,,,,,,,,,"""addr:city""=>""Maldon"",""addr:country""=>""AU"",""addr:housenumber""=>""3"",""addr:postcode""=>""3463"",""addr:street""=>""Templeton Street"""
144.0705014,-36.99534,1010254226,,,,,,,,,"""addr:city""=>""Maldon"",""addr:country""=>""AU"",""addr:housenumber""=>""3"",""addr:postcode""=>""3463"",""addr:street""=>""Reef Street"""
144.0704207,-36.9955846,1010254231,,,,,,,,,"""addr:city""=>""Maldon"",""addr:country""=>""AU"",""addr:housenumber""=>""1"",""addr:postcode""=>""3463"",""addr:street""=>""Reef Street"""
144.0685468,-36.9989397,1053645278,,,,,,,,,"""amenity""=>""drinking_water"""
144.0666533,-37.0048917,1260419265,,,,,,,,,"""addr:city""=>""Maldon"",""addr:country""=>""AU"",""addr:housenumber""=>""12"",""addr:postcode""=>""3463"",""addr:street""=>""Gray Street"""
144.0602853,-36.9746693,1260419267,Mount Mooral,,,,,,,,"""alt_name""=>""Rock of Ages"",""natural""=>""peak"""
144.0533092,-36.9606891,1700635039,,,,,,,,,"""ford""=>""yes"""
144.073951,-36.9925227,1763901263,Maldon,,,,,,,,"""railway""=>""station"""
144.0657305,-36.9976824,1819678773,Grave 1861,,,,,,,,"""historic""=>""memorial"""
