osm_id,name,highway,waterway,aerialway,barrier,man_made,z_order,other_tags
10946810,Newstead Road,secondary,,,,,6,"""ref""=>""C283"""
10948912,High Street,secondary,,,,,6,"""maxspeed""=>""60"",""ref""=>""C282;C283"""
10948915,High Street,secondary,,,,,6,"""maxspeed""=>""60"",""ref""=>""C282;C283"""
10948917,Bridgewater - Maldon Road,secondary,,,,,6,"""ref""=>""C282"""
10949060,Allans Road,tertiary,,,,,4,
10950933,Gray Street,residential,,,,,3,
10950934,Pond Drive,residential,,,,,3,
10951092,Church Street,residential,,,,,3,
10951096,Camp Street,residential,,,,,3,"""surface""=>""unpaved"""
10952368,Templeton Street,residential,,,,,3,
13087118,Fountain Track,track,,,,,0,
13087122,Anzac Drive,track,,,,,0,
13087296,Fountain Street,residential,,,,,3,
13087524,Tobin Street,residential,,,,,3,
13088519,Franklin Street,residential,,,,,3,
13088529,Dolphin Street,residential,,,,,3,"""oneway""=>""yes"""
13090367,Chapel Street North,residential,,,,,3,
13091445,Hospital Street,residential,,,,,3,
20789746,Boundary Road,residential,,,,,3,
20789748,Phoenix Street,residential,,,,,3,
20789753,Forsythe Street,residential,,,,,3,
20789758,Vincents Road,residential,,,,,3,
20789761,Morris Street,residential,,,,,3,"""surface""=>""asphalt"""
20789764,Hornsby Street,secondary,,,,,6,"""maxspeed""=>""50"",""ref""=>""C283"",""surface""=>""asphalt"""
20789766,Morris Street,secondary,,,,,6,"""alt_name""=>""Maldon - Bendigo Road"",""maxspeed""=>""80"",""ref""=>""C283"",""surface""=>""asphalt"""
22929246,Maldon - Bendigo Road,secondary,,,,,6,"""maxspeed""=>""100"",""oneway""=>""no"",""ref""=>""C283"",""surface""=>""paved"""
23075472,Spring Street,residential,,,,,3,
23075473,Chapel Street South,residential,,,,,3,
23075474,Francis Street,residential,,,,,3,"""oneway""=>""yes"""
23075475,,residential,,,,,3,
23075622,Derby Hill,footway,,,,,0,
24443716,South Parkins Reef Road,unclassified,,,,,3,"""surface""=>""unpaved"""
24443837,,service,,,,,0,"""surface""=>""unpaved"""
24443838,,service,,,,,0,
24443898,Johns Road,residential,,,,,3,
24443899,,track,,,,,0,
24443900,Baxter Street,residential,,,,,3,
24443901,,track,,,,,0,
24443902,,footway,,,,,0,
24443903,,footway,,,,,0,
24443977,Adair Street,residential,,,,,3,"""maxspeed""=>""50"",""oneway""=>""no"""
24443981,Steele Street,residential,,,,,3,
24443982,Warnock Street,residential,,,,,3,
24443983,Reef Street,residential,,,,,3,
24443984,Polsue Street,residential,,,,,3,"""lanes""=>""1"",""oneway""=>""yes"""
24443986,Tailings Lane,residential,,,,,3,
24887473,Polsue Street,residential,,,,,3,
24887474,Harker Street,residential,,,,,3,
24887575,Railway Track,track,,,,,0,"""surface""=>""gravel"""
24887576,Castlemaine to Maldon Trail,track,,,,,0,"""surface""=>""gravel"""
25009456,Parker Street,residential,,,,,3,"""maxspeed""=>""50"",""oneway""=>""no"""
25009508,Cox Street,residential,,,,,3,
25009509,Union Street,residential,,,,,3,"""tracktype""=>""grade1"""
25153985,,track,,,,,0,
25154110,Cox Street,residential,,,,,3,
25154111,Lisle's Gully Road,residential,,,,,3,
25154112,,track,,,,,0,
25154113,,track,,,,,0,
25154114,Roberts Street,residential,,,,,3,
25154115,Cox's Track,track,,,,,0,
25154116,Ridge Track,track,,,,,0,
25154117,,track,,,,,0,
25154118,Treloars Lane,residential,,,,,3,
25154119,D'Orsa Lane,residential,,,,,3,
25173218,Mantons Gully Road,residential,,,,,3,
25173219,Mantons Gully Track,track,,,,,0,
25173251,,track,,,,,0,
25173345,Parkins Reef Road,tertiary,,,,,4,
25178439,South German Road,residential,,,,,3,"""surface""=>""unpaved"""
25178440,South German Road,residential,,,,,3,"""surface""=>""unpaved"""
25178441,South German Road,residential,,,,,3,"""surface""=>""unpaved"""
25178442,Mill Street,residential,,,,,3,
25178470,Edwards Street,residential,,,,,3,
25178472,Union Street,residential,,,,,3,
26154919,Watersons Road,unclassified,,,,,3,"""surface""=>""unpaved"""
26174146,,track,,,,,0,
26175487,Davies Lane,residential,,,,,3,
26175488,"Davies Lane;Jones Track",residential,,,,,3,
26175489,Nuggetty Track,track,,,,,0,
26175490,Rock of Ages Track,track,,,,,0,
26175520,Lowther Street,tertiary,,,,,4,
26451949,Nelson Street,residential,,,,,3,
26470813,Mount Back Road,unclassified,,,,,3,"""surface""=>""unpaved"""
26470844,,track,,,,,0,"""tracktype""=>""grade3"""
26492053,O'Connors Track,track,,,,,0,
26492054,Smiths Reef Track,track,,,,,0,
26512973,,track,,,,,0,
26512974,,track,,,,,0,
26515277,Treloars Road,unclassified,,,,,3,
26515373,Nuggetty Road,tertiary,,,,,4,"""surface""=>""unpaved"""
26515374,Back Cemetery Road,unclassified,,,,,3,
26515376,Wattle Gully Road,residential,,,,,3,
26515377,Dieckmanns Lane,residential,,,,,3,"""surface""=>""unpaved"""
26515378,,track,,,,,0,
26515521,,service,,,,,0,
26515524,,service,,,,,0,
26515529,,service,,,,,0,
26515534,,service,,,,,0,
26515535,,service,,,,,0,
26515621,Maldon Shelbourne Road,unclassified,,,,,3,"""surface""=>""paved"""
26806803,Rowes Road,residential,,,,,3,
26806805,Popecks Road,residential,,,,,3,"""surface""=>""unpaved"""
26806806,Barham Road,unclassified,,,,,3,
26806877,Sandy Creek Road,unclassified,,,,,3,"""surface""=>""unpaved"""
27528411,Oswald Street,residential,,,,,3,
27528413,Vincents Road,residential,,,,,3,"""oneway""=>""no"""
27528415,McFarlane Street,residential,,,,,3,"""oneway""=>""no"""
27528416,McIntyre Street,residential,,,,,3,"""oneway""=>""no"""
27528430,Stump Street,residential,,,,,3,
27528479,Woodlocks Lane,unclassified,,,,,3,"""oneway""=>""no"""
27528480,,residential,,,,,3,
27528525,Porcupine Lane,unclassified,,,,,3,
27528526,,track,,,,,0,
27528696,Telfords Road,residential,,,,,3,
27528698,,residential,,,,,3,
27528701,Forty Foot Lane,residential,,,,,3,
27528705,Bells Reef Road,residential,,,,,3,"""oneway""=>""no"""
27528706,Sailors Reef Road,residential,,,,,3,
27528844,Millers Track,track,,,,,0,
27528845,Phillips Track,track,,,,,0,
27675223,Drovers Track,track,,,,,0,
28436784,Bryant Street,residential,,,,,3,"""surface""=>""unpaved"""
28436785,Lowther Street West,residential,,,,,3,"""surface""=>""unpaved"""
28436786,,footway,,,,,0,
28436787,Golf lInks Road,residential,,,,,3,
28436806,Grigg Street,residential,,,,,3,
28436807,Nursery Lane,residential,,,,,3,
28436808,McLeod Street,residential,,,,,3,
28436809,Browns Road,residential,,,,,3,"""surface""=>""unpaved"""
28436974,,unclassified,,,,,3,
28436975,Almond Tree Road,unclassified,,,,,3,"""maxspeed""=>""100"",""oneway""=>""no"",""surface""=>""unpaved"""
28464932,Jones Track,track,,,,,0,
28968016,Langs Lane,residential,,,,,3,"""oneway""=>""no"""
28968017,Caudry Street,residential,,,,,3,
28968034,,track,,,,,0,"""surface""=>""ground"",""tracktype""=>""grade3"""
28968035,,service,,,,,0,
28968038,,service,,,,,0,
28968051,,service,,,,,0,"""surface""=>""paved"""
28968052,,service,,,,,0,"""surface""=>""unpaved"""
28968068,,track,,,,,0,
29235492,,track,,,,,0,
29235494,,track,,,,,0,
29235495,,track,,,,,0,
29235541,,track,,,,,0,
